word,count
美国,19
总统,1
特朗普,2
日前,1
英国,3
欧洲,6
飞往,6
外国,1
公民,2
实施,1
为期,1
旅行,6
禁令,7
此令,1
一出,1
迎来,1
诸多,1
抗议,1
之声,1
引发,2
各界,1
疫情,9
导致,1
经济损失,2
担忧,1
欧美,3
航空公司,9
股价,1
闻声,1
暴跌,1
法国航空,1
汉莎航空,2
公司,7
股票,1
下跌,1
多达,3
早盘,1
交易,1
美国航空,2
达美航空,2
缩水,2
和凯,1
宏观,2
最新,1
预测,1
针对,1
国家,2
颁布,1
大型,1
体育赛事,1
停摆,1
措施,2
经济,5
增长,1
第二季度,1
成功,1
遏制,1
反弹,1
英美,1
幸免,1
航空,2
分析,1
数据,2
此次,1
单方面,1
未来,1
四周,1
影响,4
班次,1
航班,9
乘客,2
国际,2
航空运输,1
协会,3
警告,2
此举,1
陷入困境,1
紧急措施,1
才能,1
生存,1
航空业,1
研究,1
董事长,1
哈比森,1
记得,1
发生,1
类似,1
事情,1
全球,1
有史以来,1
困难,1
环境,1
长期以来,1
大西洋,3
航线,2
利润,1
丰厚,1
业务,1
形象,1
不得不,1
取消,3
裁员,2
行业,1
拖累,1
是从,1
欧盟,1
申根,3
地区,2
北美,1
承运,1
商该,1
仍会,1
前往,1
纽约,1
芝加哥,1
华盛顿,1
服务,2
缩减,1
目的地,2
挪威,1
月底,1
停飞,1
远程,1
机队,1
短途,1
员工,2
休假,1
排除,1
之外,1
英国航空公司,1
独善其身,1
据统计,1
有近,1
三分之一,1
途经,1
伦敦希思罗机场,1
中约,1
起点,1
置身事外,1
国际航班,1
一半,1
往返,1
德国,2
法国,4
荷兰,1
美联航,1
公共卫生,1
角度,1
值得,1
赞赏,1
举动,2
美国航空公司,1
雇员,1
旅客,2
运输业,1
整体,1
极大,1
打击,1
此前,1
机坪,1
保障,2
瑞士,1
空港,1
计划,2
巴黎,1
机场,1
销售,1
行李,1
保护套,1
航站楼,1
客流量,1
减少,2
收入,1
波及,1
客运,1
损失,2
亿美元,2
这一,1
数字,1
两周,1
扩散,1
两倍,1
短期,2
代价,2
终结,1
旅游业,2
来说,1
去年,1
来自,1
游客,2
万人次,1
海外,1
入境者,1
共计,1
消费,1
协会主席,2
罗杰,1
敦促,1
称有,1
人靠,1
为生,1
这部分,1
劳动力,1
旅行社,1
马斯,2
灾难性,1
介绍,1
最受,1
商人,1
访问,1
特别,2
往年,1
法国人,1
秘书长,1
邦德,1
补充,1
停止,1
专门从事,1
商务旅行,1
机构,2
经济学家,3
新冠,2
出乎意料,1
长期,2
来看,1
加深,1
经济衰退,2
可能性,1
反而,1
有助于,1
尽早,1
复苏,2
贝伦,1
伯格,1
银行,1
首席,1
施密丁,2
医疗,1
紧急事件,1
政府,1
确保,1
举措,1
财务,1
病毒,1
传播,1
有利于,1
平息,1
减缓,1
流行病,1
传播速度,1
足够,1
时间,1
应对,1
价值,1
说凯,1
观点,1
高级,1
亨特,1
阻止,1
病毒传播,1
最坏,1
情景,1
风险,1
人口,1
感染,1
