word,count
美国,74
多地,2
新冠,25
肺炎,15
病例,36
引发,8
市场,103
担忧,9
盘中,2
急挫,1
近点,4
恐慌,5
指数,193
重返,2
关口,3
欧美,1
股市,8
重挫,4
暴跌,8
近标,1
纳指,21
大跌,27
个州,2
感染,8
回升,2
新一轮,1
疫情,42
国际,5
油价,5
原油,9
库存,6
历史,7
新高,6
周四,27
美国股市,1
全线,5
下挫,6
美联储,41
经济,55
前景,9
预期,17
打压,2
情绪,39
卷土重来,3
之势,1
加剧,4
截至,10
收盘,5
下跌,16
跌幅,40
报点,13
标普,11
三大,19
股指,3
创月,2
中旬,2
单日,22
飙涨,1
自月,3
首次,6
隔夜,1
鲍威尔,9
悲观,3
周三,6
公布,58
利率,7
决议,1
联邦,2
基金,3
承诺,2
资产,19
购买,1
速度,3
至少,7
水平,7
重申,1
动用,1
工具,1
冲击,2
复苏,11
点阵图,1
官员,3
接近,2
直至,1
年底,1
更新,1
摘要,1
预计,21
将会,3
萎缩,2
随后,17
两年,4
反弹,48
主席,5
加息,1
数以百万计,1
回到,2
工作,3
行业,21
漫长,1
支持,6
言论,1
总统,3
特朗普,14
社交,4
媒体,36
再次,6
表达,1
不满,17
犯错,4
数字,4
第三季度,1
第四季度,1
表现,6
有史以来,3
一年,3
写道,2
很快,1
疫苗,4
找到,1
治疗,4
办法,1
拭目以待,1
第二,13
风险,26
约翰斯,3
霍普金斯大学,3
统计,1
人数,14
突破,2
大关,1
解除,1
封锁,2
亚利桑那州,4
德克萨斯州,4
佛罗里达州,3
加利福尼亚州,2
多个,1
州近,1
七日,1
平均数,1
证据,2
健康,3
中心,3
资深,2
学者,2
内尔,1
地区,5
掀起,2
一波,3
暴发,2
目前为止,2
渺小,1
财长,2
努钦,5
关闭,6
现实,1
方案,1
溢出,1
效应,2
影响,8
大姆,1
损害,3
经济损失,1
做新冠,1
病毒检测,1
追踪,1
改善,3
控制,4
当天,5
密苏里州,1
新泽西州,2
重启,4
下一阶段,1
板块,2
泥沙俱下,1
受益,2
航空,37
邮轮,2
遭遇,4
抛售,6
美联航,2
达美航空,19
美国航空,20
西南航空,19
嘉年华,2
公司,87
挪威,1
超过,28
运输部,1
航空公司,17
载客量,1
万人次,1
收集,1
数据,16
