word,count
一墨,1
航空,20
产业,13
概况,2
生产,12
制造,4
工业体系,2
组成部分,1
墨西哥,24
整体,1
较为,1
年轻,1
最具,1
活力,1
部门,1
起步,1
世纪,1
七十年代,1
年墨,4
推出,1
发展,4
行业,1
举措,1
近年来,2
年均,1
增速,1
国家统计局,1
及墨,1
产业协会,4
统计数据,3
总产值,2
亿美元,5
全国,3
总计,1
万余名,1
产业工人,1
当年,1
制造业,2
吸引外资,3
企业,2
投资,6
国际,1
知名品牌,1
零配件,8
配套,1
服务,2
产品,2
民用飞机,3
领域,3
民用航空,1
发动机,5
配件,2
飞机,10
机身,1
起落架,1
连接,1
系统,1
线束,3
电缆,1
其他配件,1
本土,1
整机,1
装配厂,1
如墨,1
知名,4
制造商,2
集团,5
通用电气,4
罗尔斯,1
罗伊斯,1
全球,5
钛合金,1
无缝,1
滚轴,1
赛峰,1
分公司,1
空客,4
电子,1
航空公司,1
达美航空公司,1
维修,3
检测,1
位于,1
克雷,6
塔罗,6
维修中心,1
拉美,1
客机,3
维护,1
平台,1
截至,1
共计,2
余家,1
公司,3
研发,7
创新,1
分布,4
被誉为,1
航天,4
下加利福尼亚州,1
索诺拉州,1
奇瓦瓦州,2
莱昂,3
航空航天,2
工业,2
迅猛,1
借助,1
外资,2
优势,2
产学研,1
一体,1
集群,1
高端,1
自主化,1
迈进,1
航天局,3
未来,1
克州,1
部署,1
自主,1
品牌,2
小型,1
卫星,4
得益于,1
区位,1
开放,1
市场,1
环境,1
加工,1
技术,3
始终保持,1
世界,2
先进,1
接轨,1
打印,2
数据,1
采集,1
材料,1
该国,3
内部,1
打造,1
坚固,1
轻便,1
零部件,3
雷尼绍,1
设厂,2
增长,1
客户,1
对外贸易,1
累计,2
对外,1
出口,7
位居,1
第位,1
目的,1
美国,5
加拿大,2
法国,2
德国,1
进口,6
进口国,1
英国,1
进出口,1
用于,2
组装,1
航空器,2
涡轮喷气,1
涡轮,1
螺旋桨,1
零件,2
燃气,1
涡轮机,1
更换,1
套件,1
电缆线,1
来自,2
北美,1
欧洲,1
五年,1
吸收外资,3
热点,1
国家,3
十年间,1
全年,1
庞巴迪,3
波音,3
霍尼韦尔,2
境内,1
经营,2
业务,4
民用,2
直升机,2
少量,1
军用,1
一座,4
工厂,4
系列,1
机舱门,1
紧急,1
舱门,1
地铁,1
轨道交通,1
三分之一,1
收购,1
即将,1
利用,1
蒂华纳,1
原有,1
内饰,1
工程,4
工艺,2
中心,2
培养,1
人才,1
全境,1
有座,1
加州,1
圣路易斯,1
西州,1
墨西哥城,1
墨西卡利,1
市有,1
二墨,1
航天工业,4
历程,1
最早,1
发射,4
火箭,3
第一枚,1
顺利,1
升空,1
成立,2
外太空,1
委员会,2
期间,1
试验,1
宣告,1
解散,1
空间,3
项目,1
暂告,1
中断,1
唯一,1
一名,1
宇航员,1
道尔,1
利于,1
美国航空航天局,1
支持,1
获准,1
空间站,1
度过,1
一周年,1
隶属于,1
通信,1
交通部,1
职能,1
制定,1
计划,1
大政方针,1
探索,2
活动,1
水平,1
承接,1
订单,1
飞行器,1
分系统,1
太阳电池,1
具备,1
能力,1
墨西哥政府,1
采购,1
三颗,1
通信卫星,1
军事,1
载有,2
通讯卫星,2
俄罗斯,1
质子,1
运载火箭,1
失败,1
太空,2
猎鹰,1
九号,1
飞船,1
成功,1
在外,1
运行,1
普埃布拉,1
人民,1
自治,1
大学,1
联合,1
研制,1
标志,1
国产,1
科技,1
走出,1
一步,1
疫情,2
新型,1
肺炎,1
机会,1
