word,count
联社,1
上海,1
吴斌,1
美东,1
时间,14
周三,4
美联储,15
主席,6
鲍威尔,22
悲观,2
言论,3
美股,8
估值,3
担忧,3
影响,8
美国,76
三大,3
股指,3
全线,5
收跌,10
大跌,6
点收,2
纳指,6
标普,5
指数,8
市场动态,2
截至,10
收盘,5
下跌,19
报点,6
跌点,4
能源,4
金融,3
板块,4
领跌,3
标准,2
普尔,2
警告,4
经济,30
预期,15
下行,6
风险,10
阻止,2
疫情,28
扩散,2
三月,3
中旬,2
暂时,2
关闭,2
社会活动,2
重担,2
更多压,2
承受能力,2
更弱,2
群体,2
不确定性,2
一系列,2
可能性,2
做好,4
政策,10
亿万富翁,2
投资者,3
戴维泰珀,2
第二,2
高估,4
市场,26
创始人,2
投入,2
很多,5
资本,2
分配,3
错误,2
首席,2
执行官,2
一份,2
报告,9
写道,2
取决于,2
接下来,2
几个,4
企业,9
开业,4
世界,5
刺激,3
措施,8
抵挡,2
长时间,2
关门,2
热门股,2
表现,6
大型,3
科技股,4
涨跌,6
苹果,9
亚马逊,3
涨奈,3
飞涨,3
谷歌,3
跌跌,4
微软,3
特斯拉,18
金融股,3
摩根,4
大通,4
高盛,8
花旗,3
美国银行,5
富国银行,3
摩根士丹利,3
集体,2
雪佛龙,2
埃克森,3
美孚,3
跌康菲,2
石油,2
跌斯伦贝谢,2
欧格,2
资源,3
航空,7
创下,4
危机,3
新低,2
美国航空,3
达美航空,5
美国联合航空公司,2
波音,2
热门,3
中概,3
阿里巴巴,3
京东,3
百度,3
跌蔚来,2
汽车,7
多多,3
再创,2
历史,5
新高,4
公司,8
消息,5
计划,6
分阶段,4
安排,4
员工,6
重返,4
办公室,4
外媒,4
报道,8
知情,2
人士,2
透露,2
回到,2
硅谷,2
消息人士,3
工作岗位,2
时间表,2
固定,2
改变,3
特别,2
所在,6
居家,3
变化,2
重开,4
内华达州,8
超级,8
工厂,18
内部,2
电子邮件,2
位于,2
希望,4
家中,2
请无薪,2
据悉,2
生产,7
电动汽车,2
电池,2
储能,2
产品,7
零部件,2
一项,4
更为,2
激进,2
举措,3
此前,4
期间,4
只会,2
恢复,3
有限,2
运营,2
阿拉米,4
达县,4
条件,4
下周,4
开工,2
当地,8
加州,2
卫生部门,2
推特上,3
本周,2
最低,2
限度,3
商业活动,2
重启,5
卫生,4
当局,2
在内,2
获准,2
日前,2
数据,29
情况,4
好转,2
吉利,4
授权,4
在国,2
瑞德,6
西韦,6
不收,2
专利费,4
科学,2
周二,3
五家,2
仿制,2
生产商,2
迈兰,2
制药,2
达成,2
协议,2
国家,8
抗病毒,2
这一,5
交易,3
世界卫生组织,3
新冠,16
病毒,9
不再,3
全球,5
健康,3
药物,2
疫苗,3
批准,2
用于,2
治疗,3
预防,3
以较,2
早者,2
为准,2
思科,6
第三,7
财季,6
营收,5
净利润,7
亿美元,35
去年同期,4
盘后,2
上涨时间,1
大幅,3
哔哩,2
哔哩涨,2
上涨美联储,1
暗示,3
实行,2
利率政策,2
巴菲特,38
再现,1
抄底,3
割肉,7
操作,5
海外,2
股市,1
更是,1
连续,2
三日,1
下滑,2
最新,7
近点,2
跌幅,5
证监会,3
文件,3
旗下,5
伯克,9
希尔,13
哈撒韦,9
日日,2
出售,4
万份,1
合众,25
银行,48
股票,7
平均,3
价格,4
美元,12
持有,10
亿股,3
收跌报,1
日伯克,2
刚刚,5
增持,11
持股,14
比例,10
突破,3
近期,4
日增,4
纽约,13
梅隆,12
月份,9
总统,1
特朗普,12
再次,1
敦促,1
利率,12
发还,1
发推文称,1
享受,1
好处,1
接受,2
礼物,1
演讲,1
财政,5
支持,3
复苏,8
积聚,1
动力,1
北京,3
晚间,2
富人,1
发表,3
负面,2
永远,3
记住,2
大举,2
做空,2
在此之后,1
转向,1
看好,2
宣传,2
推动,2
上涨,1
投资人,1
两全其美,1
真的,3
合法,1
财政赤字,3
破纪录,1
美国财政部,1
月度,1
预算,1
揭示,1
美国政府,1
抗疫,1
后果,1
财政收入,1
政府,1
两次,1
救济,2
财政支出,1
也就是说,1
打破,1
纪录,2
进一步,3
恶化,1
极有,1
持续,3
公众,1
联邦,1
债务,1
比重,1
财政年度,1
增至,1
预算赤字,1
调查,2
年收入,1
低于,2
万美元,2
家庭,3
中有,1
工作,2
战后,1
经济衰退,2
最快,1
规模,1
事实上,1
不仅仅,1
欧洲,1
打击,2
