word,count
交通运输,1
统计数据,1
民航,3
客流量,1
万人次,1
下降,8
环比,3
增长,11
国内,8
航空,29
客流,5
处于,4
复苏,10
通道,1
国际航班,1
有序,2
恢复,9
执行,2
五个,1
政策,10
国际,9
拐点,1
总体,1
券商,3
研究,2
机构,2
机场,2
疫情,28
影响,7
时期,2
重点,2
春秋航空,1
大航,1
国航,1
南航,1
东航,3
上海,2
数据,18
航班,6
稳步,1
去年同期,1
五月,1
全国,1
城市,2
通行,1
复工,2
复产,1
复课,1
商务,2
出行,2
增多,2
深沪穗沪蓉,1
航线,3
上座率,1
接近,1
第一周,1
新增,1
万个,4
可用,1
座位数,1
运力,3
投放,2
航空运输,4
协会,3
公布,3
最新,4
全球,24
客运,2
需求,8
月份,4
触底,2
初现,1
迹象,1
低点,4
总量,1
上涨,10
旅行,3
非常低,1
这一,6
趋势,2
并未,1
改观,1
运输业,3
现状,1
第二轮,4
扩散,2
航空业,24
漫长,1
进程,1
第一个,1
信号,2
天风,1
证券,7
国内航线,1
持续,7
回暖,1
海外,3
发展,4
大面积,2
尚需,1
时日,1
公司,17
季报,1
披露,2
控制,1
有望,2
油价,4
低迷,1
节约,1
成本,5
阶段性,1
利空,6
落地,2
回升,2
光大,2
航油,1
价格,1
延迟,1
降价,1
航司,6
压力,4
缓解,3
较大,3
不确定性,3
改善,1
盈利,3
能力,2
值得一提的是,1
周五,2
美股,17
暴力,2
美国航空,9
涨幅,4
或许,1
个股,3
一针,1
兴奋剂,1
截至,7
收盘,3
美国联合航空,5
达美航空,5
西南航空,5
在内,1
美国,21
四大,4
股价,6
四月,1
大幅,12
反弹,12
月初,1
清仓,2
股神,2
巴菲特,3
一回,1
亏大,1
沃伦,1
旗下,1
伯克,4
希尔,4
哈撒韦,4
证交会,1
提交,1
一季度,1
持仓,2
报告,7
近期,11
监管,1
文件,1
发现,1
清空,2
航空公司,14
能源,1
菲利普,1
保险公司,1
旅行者,1
保险,1
股票,2
暴发,1
航的,2
投资,4
带来,2
不菲,1
年报,1
年底,1
持有,1
美国西南航空,1
股份,8
新冠,4
肺炎,5
黑天鹅,1
事件,1
短短,1
一个月,3
时间,11
持股,3
新型,1
机会救助,1
没用,2
汉莎航空,11
裁员,17
损失,9
年月日,1
来源,1
中国,5
基金,1
报原,1
标题,1
