word,count
本报记者,1
朱宝琛,1
国内,7
三大,3
航空公司,11
月份,17
运营,1
数据,5
悉数,1
公布,5
证券日报,3
中国国航,2
平均,1
客座率,5
下降,6
百分点,5
东方航空,2
南方航空,2
旅客,9
运输量,6
情况,2
来看,2
国内航线,3
恢复,10
国际,6
航线,12
理想,2
民航局,8
去年同期,6
行业,12
万人次,5
晚上,1
一家,1
大型,2
乘务长,1
李莉,4
化名,1
执行,6
航班,9
北京首都机场,1
落地,1
这趟,1
回程,1
顺利,1
告诉,2
增长,1
三次,1
飞行,4
此前,1
几个,1
多月,1
一趟,2
热门,1
时间段,1
高点,1
事实上,1
感受,1
慢慢,2
每次,1
前一天,1
参加,1
会议,1
乘务员,1
增多,2
增加,2
体现,1
最新,1
增速,3
回升,2
运输,6
逐月,2
提高,1
新增,5
年月日,1
上海浦东,1
西宁,1
每周,2
七班,2
新开,1
上海,1
朝阳,1
客运,2
深圳,2
乌鲁木齐,1
上半年,6
数量,1
偏少,1
包机,2
业务,3
客改货,3
这是,1
解决,1
疫情,10
带来,3
航空,5
货运,4
运力,1
严重不足,1
举措,1
程度,1
降低,1
影响,5
一位,1
机长,1
偶尔,1
客机,2
值得,1
我国,2
航空业,5
增长点,1
副司长,1
军号,1
介绍,2
多家,1
利用,1
闲置,1
开通,1
改货,2
加班,1
基础,1
额外,1
班班,1
班和班客,1
总量,1
比例,1
超过,1
业绩,2
会受,1
新冠,2
肺炎,2
民航业,1
冲击,3
生产,1
急速,1
航安办,1
主任,1
吴世杰,1
小时,1
亿人次,1
经济效益,1
大幅,1
下滑,1
运输业,1
预计,2
经营,2
防控,1
阶段性,1
成果,1
全国,2
复工,1
复产复,1
商复市,1
稳步,1
推进,1
市场需求,1
企业,5
效益,1
形势,2
持续,1
民航,2
亏损,5
减少,2
亿元,9
减亏,4
机场,1
保障,1
整体,2
利润,1
二季度,1
一季度,1
稳定,2
发展,2
一系列,1
扶持,1
政策,3
陆续,1
推出,1
一揽子,1
减负,1
局长,1
冯正霖,1
日前,2
工作,1
电视电话会议,1
全球,1
前所未有,1
严峻,2
局面,1
中国民航,1
面对,1
表现,1
坚强,1
韧性,1
潜能,1
未来,1
国家,1
诸多,1
红利,1
释放,1
迎来,1
契机,1
国务院,1
国资委,2
党委委员,1
秘书长,1
新闻,2
发言人,1
华岗,1
国新办,1
发布会,1
处于,1
状态,1
中央,1
几家,1
好转,2
状况,1
进一步,1
客观,1
来说,1
商量,1
风险,1
可控,1
恢复正常,1
信心,1
跨省,1
团队,1
旅游,1
解禁,1
叠加,1
暑期,1
因素,1
接下去,1
还会,1
有所提高,1
希望,1
接下来,1
机会,1
