word,count
周三,50
纽约,8
时段,4
盘中,22
加拿大,29
公布,30
月份,55
数据,85
表现,25
略超,2
预期,52
美元兑,3
加元,5
短线,2
小幅,3
回落,12
此后,3
收回,1
跌幅,92
延续,4
此前,43
日内,2
升势,1
两项,1
美国,362
房市,2
整体,13
不佳,3
金价,11
影响,131
有限,14
现货,4
震荡,14
走势图,1
分钟,15
通胀,3
年率,2
前值,4
核心,17
美联储,106
紧急,39
降息,52
本月,13
央行,25
跟随,4
脚步,2
利率,33
降低,18
百分点,25
分析师,21
近期,29
该行,4
市场,270
消化,2
此次,22
日程,1
之外,9
疫情,559
油价,34
大幅,51
下跌,127
经济,248
负面,5
冲击,58
一项,17
主动性,1
措施,87
全球,168
前景,11
更新,5
形势,30
发展,104
管理,27
委员会,8
随时,4
进一步,48
调整,53
货币政策,13
支持,69
增长,77
目标,19
水平,23
再次,25
货币,30
风险,86
原油价格,8
密切相关,1
追随,1
疲软,11
下行,17
旅游,45
需求,91
下降,111
峰值,6
不足为奇,1
旅行,17
越来越,18
航空公司,70
亚太地区,3
压力,43
加剧,28
新屋,1
开工,3
年化,1
营建,1
许可,3
北京,90
时间,101
汇通,4
软件,2
报价,1
美元,115
盎司,4
新型,54
肺炎,127
机会,75
标题,3
道琼斯,25
指数,155
特朗普,79
就职,8
涨幅,22
美国白宫,5
敦促,9
卖空,9
截至,60
大跌,31
历史,47
最高点,3
超抹,2
美股,153
不住,1
大涨,4
势头,1
一日,1
开盘,22
指跌,4
纳指,14
跌标,1
持续,72
走低,3
熔断,115
边缘,2
疯狂,7
试探,1
一度,26
超标,1
超据,1
纽约时报,3
消息,21
国际,108
欧洲,51
股市,63
收跌,25
斯托克,3
报点国,1
报点,55
英国,40
富时,8
法国,19
意大利,9
西班牙,8
巴西,10
股指,27
触发,46
收盘,42
上证指数,2
深证,4
成指,2
创业板,3
指报,1
亚太,6
大面积,4
受挫,3
发稿,3
澳大利亚,6
标普,67
重挫,18
韩国,5
综合,23
日经指数,1
财政部,23
推出,26
万亿美元,30
刺激,97
计划,117
每位,5
公民,9
发放,17
支票,19
华盛顿邮报,5
报道,26
来自,21
两名,9
高级,11
行政官员,7
情况,109
说明书,7
信息,38
白宫,35
官员,10
国会,20
共和党人,13
合作,28
制定,15
发送,8
两张,7
投入,31
亿美元,119
小企业,12
大规模,18
裁员,11
讨论,14
旨在,7
花费,17
拯救,12
航空业,45
支撑,19
行业,44
尚未,10
做出,16
最终,14
对话,7
财长,12
努钦称,4
战胜,2
新冠,108
病毒,36
复苏,16
努钦,28
提议,7
两批,2
派发,6
援助,27
获批,2
发给,4
贷款,49
两度,1
累计,28
下调,24
基准利率,2
基点,15
自年,7
大幅度,4
以此,3
对抗,2
超额,1
准备金率,2
启动,9
规模,33
宽松,19
各国,35
纷纷,7
提振,11
政策,93
丹斯克,1
银行,43
预计,42
未来,46
几天,5
欧洲央行,13
量化,17
财政,28
大臣,2
政府,76
研究,18
工具,27
总理,7
特鲁多,4
相当于,7
该国,4
经济总量,4
欧盟,9
资产,65
购买,27
扫清,1
障碍,1
管委,1
雷恩,1
非常规,2
土耳其,1
亿里拉,1
折合,2
抗击,5
金融危机,43
前海,1
开源,1
基金,47
首席,15
经济学家,16
杨德龙,1
指出,47
专家,4
测算,3
海外,45
扩散,17
才能,14
见到,3
拐点,2
欧美,24
压制,3
一段时间,5
还会,5
兴业银行,2
政委,1
衰退,28
危机,102
是因为,7
流动性,79
系统性,1
第二个,4
原因,25
杠杆,35
偏高,1
企业,304
负债率,1
极端,7
信用,24
利差,8
偿债,1
能力,20
特别,18
稳健,1
中小企业,13
金融机构,10
一半,9
大会,2
陈志武,1
改变,9
观念,1
划等号,1
一点,6
金融,25
内部,6
挤兑,2
恐慌,35
这次,16
目前为止,3
体系,6
股票市场,2
债券市场,5
本身,3
运作,3
有条不紊,1
说不上,1
延伸,2
阅读,4
天内,6
第次,4
机制,52
重磅,1
天次,3
股神,14
巴菲特,76
见证,6
周二,18
现金,42
其高达,1
一部分,9
哀叹,1
不太可能,3
阻止,3
经济衰退,22
预测,23
二季度,5
萎缩,13
有史以来,6
德银,1
马修,1
卢泽蒂,1
很难,1
找到,5
一揽子,7
中旬,8
蔓延,50
原油,32
暴跌,92
美国股市,18
两次,5
果断,2
出手,5
实施,22
发现,14
年内,3
第二次,15
缓解,12
金融市场,19
紧张,14
局面,7
反而,5
导致,42
全球股市,14
联袂,1
从美债,1
来看,39
交易日,18
国债,10
收益率,15
反弹,21
年期,4
美债,12
带动,9
不降反升,1
意味着,19
严峻,6
实际上,3
剧烈,6
波动,22
下挫,10
紧缺,3
关键,16
指标,13
远期,2
协议,10
隔夜,7
互换,5
一周,15
飙升,11
至近,1
逼近,2
海啸,1
后期,3
融资,42
困难,24
恶化,11
债务,50
膨胀,1
悲观,12
收益,32
偏紧,2
发生,35
非金融,1
部门,32
率为,3
超过,82
高点,12
下级,1
企业债,6
至个,2
重启,12
油服,1
银行业,4
违约,15
增加,29
标准,15
普尔,13
埃克森,8
美孚,8
无担保,5
评级,20
降至,3
理由,5
欠佳,1
削弱,2
这家,4
能源,15
巨头,8
自由,11
现金流,20
低于,8
去年,5
给出,2
两年,5
天然气,6
价格,18
炼油,1
利润,13
将会,16
市场需求,5
减少,19
财务计划,1
较大,16
公司,211
信评,3
疲弱,3
展望,2
警告,9
改善,5
息税,1
折旧,2
摊销,1
债券,11
降级,1
垃圾,8
油气,5
穆迪,4
稳定,25
声明,13
操作,16
加大,24
盈利,13
存款,7
成本,13
近于零,1
空间,21
挤压,2
利润率,1
角度看,2
目的,5
应对,44
带来,42
结构性,4
传染性,1
潜伏期,1
长对,1
聚集,7
消费,38
生产,106
场所,5
打击,17
航空,144
旅游业,21
餐饮,4
服务业,17
制造业,35
短期,25
资金流,3
不得不,6
申请,24
信贷,23
额度,4
生存,3
中小银行,1
叠加,10
处于,26
周期,7
阶段,12
率有,1
抬头,2
趋势,14
有利于,9
系统,12
再度,23
信号,5
发出,3
资本,41
模式,19
很大,14
电话会议,2
鲍威尔,5
称负,1
暴发,2
期间,41
选项,2
聚焦,5
运行,13
难以,9
