word,count
周三,12
早些时候,1
未经,1
证实,3
新冠,16
疫苗,4
进展,4
报道,6
提高,3
油价,4
随后,7
传出,4
欧佩克,3
进一步,8
减产,5
应对,13
需求,30
下降,12
涨势,1
美国,33
上周,6
汽油,6
馏分油,5
库存,18
减少,25
欧美,1
原油期货,5
强劲,5
反弹,27
纽约,3
商品,4
期货,6
交易所,2
得克萨斯,1
轻油,1
结算价,2
每桶,2
美元,21
比前,15
交易日,20
上涨,49
涨幅,41
交易,10
区间,2
伦敦,3
洲际,1
布伦特,3
原油,20
周二,5
技术,3
委员会,2
会议,12
讨论,1
石油,10
减缓,1
路透社,1
援引,1
知情,1
人士,12
俄罗斯,3
支持,24
加大,2
力度,4
建议,12
延长,2
协议,4
期限,2
据说,1
为首,1
同盟国,1
周四,8
增加,23
美国能源,3
信息,11
数据,22
截止,8
年月日,14
四周,6
成品油,4
总量,5
平均,8
万桶,34
去年同期,13
车用汽油,1
日均,16
馏份,2
数万,1
煤油,1
航空,42
燃料,1
数比,1
单周,1
一周,14
日需求量,1
需求量,1
首次,5
降幅,1
大于,1
预期,10
库存量,2
亿桶,4
增长,14
五年,3
同期,4
高比,1
商业,5
炼厂,1
加工,2
炼油厂,1
开工率,1
百分点,1
进口量,4
备受,2
俄克拉荷马州,1
库欣,1
地区,4
战略,3
储备,2
稳定,3
出口量,6
每日,9
今年以来,5
出口,4
产量,5
略有,1
当周,1
周日,8
机会,18
旺旺,15
大礼包,1
旺气,1
身体,1
财旺,1
富旺,1
运道,1
旺祝,1
加旺,1
几年,1
新年,2
广告词,1
红遍,1
广告,1
步入,1
时期,7
春节,16
雪饼,1
旺仔,2
牛奶糖,1
礼品,10
特性,1
休闲,7
食品市场,1
遭遇,2
寒冬,1
新型,26
冠状病毒,23
肺炎,36
疫情,167
来势汹汹,2
食品饮料,10
行业,46
程度,8
影响,61
短期,26
淡季,3
大众,3
食品,9
消费,15
来自,11
社交,2
两个,10
压制,2
乳品,3
高端,4
白酒,3
饮料,5
市场需求,1
期间,19
销量,9
挑战,1
日月,2
日股,3
指数,43
跌幅,16
港股,31
食品行业,1
恒生指数,17
往年,1
走亲访友,1
消费者,4
一半,2
购买,13
大年初一,5
产品,63
乳制品,2
植物蛋白,1
肉制品,1
中小城市,1
市场,89
场景,5
消失,1
平安,8
证券,22
估计,3
因春,1
节假日,1
至少,5
导致,5
全年,1
消费量,2
中档,1
应会,1
多一些,1
具备,1
性质,3
餐饮,7
产业链,2
礼盒装,1
下滑,4
保质期,1
因素,5
节后,4
难度,1
成本,16
陷入困境,1
旺季,3
冲击,19
回顾,2
非典,13
短暂,3
过后,5
社会,8
零售,4
增速,2
跳水,4
快速,4
当年,1
回落,8
后续,6
本年度,2
政府,13
管控,3
日益,1
增强,1
防控,35
意识,3
持续时间,2
我国,5
回升,4
几个,4
出门,2
次数,1
持续,29
大幅,19
压力,7
竞争,5
加剧,2
推动,5
加速,5
洗牌,2
市场份额,3
有望,15
龙头,6
受挫,1
板块,37
中以,1
中国,74
康师傅,7
控股,22
统一,6
企业,48
三家,2
股价,9
涨跌幅,1
累计,12
值得注意,4
日日,3
两家,3
公司,132
连连,1
收回,1
失地,1
带来,8
减至,1
最小,1
或许,2
负面影响,3
暂时,2
中是,1
收盘,18
仍达,1
刷新,1
新低,1
承受不住,1
结构,5
财年,2
上半年,5
牛奶,2
米果,1
品牌,7
糖果,1
第一,7
业务,23
营收,3
比重,6
类产品,2
面向,4
大众化,1
礼品包装,1
不少,10
选择,4
人人,1
逢年过节,1
送礼,1
突袭,1
饮品,3
遭殃,1
而旺仔,1
带动,6
主力军,1
期内,2
超过,36
收益,4
之大,1
不难理解,1
年轻,1
方便面,8
很少,1
武汉,62
封城后,1
超市,2
抢空,1
医生,8
几天,3
泡面,1
新闻,4
背景,3
畅销,2
大部分,6
此次,12
意外,2
刚需,3
属性,4
改中,1
长期趋势,3
细分,1
领域,6
幅度,8
旅游,6
有限,10
中期,3
来看,29
升级,6
渠道,11
下沉,2
趋势,4
整合,3
市占率,2
提升,8
未来,13
距离,2
结束,10
一段时间,1
季度,3
半年,3
参考,1
发展,36
态势,2
预计,14
中小企业,1
大规模,4
倒闭,1
争夺,1
关键时期,1
实力,1
