word,count
北京,57
时间,241
消息,6
近几个月,5
新冠,172
病毒,137
世界,140
传播,16
很多,472
行业,374
压力,23
旅游业,7
影响,444
具体来说,6
航空公司,376
这场,11
危机,136
遭受,15
不成比例,4
痛苦,11
巴菲特,1933
流行病,18
已使,9
航空业,116
发生,520
变化,207
羡慕,10
担任,14
业务,281
来说,103
未来,263
前景,31
明朗,8
一切顺利,8
拥有,102
损害,13
疫情,872
新型,30
肺炎,68
机会,134
伯克,701
希尔,871
哈撒韦,183
视频,30
会上,41
董事长,17
长期,227
政策,87
持续,66
年度报告,16
公司,1081
运营,56
情况,665
将来,109
还会,69
亏损,189
其他人,30
改变,192
困境,7
挣扎,1
波音公司,4
一家,51
不得了,4
想到,51
波音,24
这是,169
出口商,4
工作,190
周四,1
债券,73
发行,54
成功,33
筹集,3
亿美元,497
资金,123
不再,31
寻求,5
政府,130
援助,1
飞机,93
飞行,26
这会,12
于健,1
中证网,1
胡雨,1
实习,1
林倩,1
早间,1
股东大会,376
在线,34
总经理,2
沃伦,151
卖出,85
美国,1041
四大,89
股票,791
持仓,38
卖价,8
买入价,1
航空,390
达美,43
美联航,18
西南航空,44
很大,128
生活习惯,26
趋势,66
损失,34
关闭,87
一部分,78
指出,64
卖掉,28
一点点,7
卖会,1
一卖,1
到底,104
清仓,72
退出,16
四家,22
投资,1095
希望,191
纠正,7
习惯,33
延长,3
补充,16
确实,39
无法控制,1
事件,37
被迫,2
伤害,7
不幸,2
问到,10
出售,49
所持,1
股时,3
回答,58
解释,32
称当,1
持有,233
股份,66
减持,42
仓位,36
问答,12
环节,28
削减,7
日讯伯克,2
从未,1
类似,35
事情,308
面对,45
困难,77
克服,25
打赌,12
做空,38
小心,38
市场,504
过往,12
生涯,11
抓住,29
延伸,1
阅读,8
经济,407
战胜,22
冠状病毒,17
阻止,34
这次,128
没什么,11
相似之处,29
购买,177
风险,133
更大,59
确认,13
联合,22
交通运输,7
刘巧玲,1
声明,3
文章,19
提及,8
个股,12
内容,10
仅供参考,4
建议,79
投资者,259
据此,4
操作,23
自担,4
评估,32
时犯,13
理解,56
错误,88
导致,76
全球,149
旅行,38
停止,62
价格,155
急剧,15
下跌,55
事实证明,20
这项,28
看法,46
四位,14
优秀,24
首席,16
执行官,8
可不是,11
好玩,9
从现在起,11
需求,109
恢复,47
去年,90
水平,72
太多,23
当地,27
下午,9
日点,4
一年一度,23
自年,9
至今,8
往年,9
以线,6
会议,104
形式,16
提问,86
三位,4
事先,5
收集,11
股东,168
提交,29
从中,2
选出,11
有趣,34
发问,8
时报,2
梳理,10
本次,46
上谈,2
突发,5
预料到,3
针对,27
预期,55
爆发,20
居民,27
健康,72
全国,34
心理,26
做好,71
预测,84
发展,120
更坏,31
西班牙,26
流感,28
致命,11
封锁,14
措施,75
实验,15
带来,85
致死率,10
流行,61
传染性,33
很强,19
近期,18
各国,21
次贷,16
火车,29
放在,53
测试,5
线上,33
列车,26
偏离,16
轨道,41
基础性,2
原因,69
银行,196
疲软,15
拉着,20
放到,29
测线,3
强壮,36
身上,14
下错,21
赌注,41
出生,36
遭遇,46
萧条,81
在此期间,6
暴跌,36
此后,5
回到,20
几个,64
不知,8
持之以恒,3
坚持不懈,6
事业,8
蒸蒸日上,4
奇迹,27
相比,52
更好,109
富裕,16
国家,258
绝不,8
可怕,8
经受,4
考验,32
某种程度,22
最终,13
答案,24
在我看来,9
真实,8
内战,11
回报,88
国债,111
年期,23
收益率,41
通胀率,16
来看,164
高会,10
现金,231
床垫,22
分散,35
策略,17
不错,76
要持,2
乐观,36
态度,41
几周,3
明年,51
跨行业,8
下注,49
收购,65
企业,274
不太,13
不介意,12
优质,35
股权,55
运作,41
收益,142
前要,12
状况,130
还要,45
保险业务,74
铁道,33
营业,39
理想,68
月伯克,14
回购,167
同期,39
回笼,12
美联储,177
采取行动,31
后果,46
加快速度,5
出台,5
充满,8
挑战,15
挑战性,13
开心,14
当下,11
显得,25
模糊不清,29
旅游,53
邮轮,27
酒店,39
看好,57
制造商,17
特别,103
怀疑,9
空客,13
国际,29
