word,count
民航局,10
办理,8
退票,15
万张,8
近期,1
返程,2
高峰,1
国务院,1
联防,2
联控,2
机制,1
下午,1
国新办,1
新闻,3
发布会,2
介绍,1
春运,1
疫情,2
防控,1
工作,2
情况,1
副局长,5
健在,1
会上,1
影响,1
民航,6
客流量,1
大幅,1
下降,1
日均,4
运输,4
旅客,3
万人次,4
去年同期,4
国家,3
统一,1
部署,1
减少,2
人员,1
出行,2
连续,4
四次,4
免费,8
政策,7
据统计,4
截至,5
中外,6
航空公司,9
超过,3
票面,5
金额,4
亿元,5
央视,4
资金,2
超亿,1
进一步,1
举措,1
实行,1
国内外,1
涉及,1
总金额,1
中国,1
李健,5
国务院新闻办,1
透露,2
限度,1
降低,2
感染,1
病毒,1
风险,1
引导,1
做好,1
客流,1
意味,1
承担,1
压力,1
流动性,1
危机,1
对此,1
世纪,2
经济,2
报道,2
独家,1
制度,1
安排,1
出台,1
补贴,1
旅客量,3
四分之一,3
伯克,1
希尔,2
哈撒韦,2
四季度,2
减持,2
高盛,2
富国银行,2
美国,2
航空,2
美国银行,2
增持,2
通用汽车,2
减仓,2
多云,1
讯伯克,1
